"Trends in Age-adjusted Cancer Death Rates* by Site, Females, US, 1930-2011",,,,,,,
Year,Stomach,Colon and Rectum,Pancreas‡,Lung and Bronchus,Breast,Uterus†,Liver‡
1930,35.2,27.1,3.8,2.6,30.1,36.3,19.3
1931,33.8,27.7,4.1,2.6,30.6,36.5,18.6
1932,33.7,28.5,4.5,2.8,30.9,36.7,18.6
1933,32.5,28.7,4.3,3.0,30.8,35.6,17.4
1934,31.6,29.7,4.4,3.1,31.6,35.6,17
1935,31.4,30.2,4.7,3.5,31.3,35.7,16.5
1936,30.9,31.5,5.1,3.9,32.0,36.0,16.1
1937,29.2,31.9,5.0,3.8,31.6,35.6,15.4
1938,28.9,32.4,5.4,4.1,32.4,34.4,14.9
1939,26.9,33.0,5.6,4.1,32.5,34.3,14.1
1940,25.7,33.5,5.4,4.1,33.8,34.0,13.6
1941,24.6,33.1,5.7,4.6,32.7,32.7,13.3
1942,25.0,33.1,5.6,4.7,32.8,32.1,13.4
1943,23.5,34.1,5.2,4.9,32.6,32.4,14.1
1944,22.5,34.3,5.5,5.1,32.0,31.9,13.7
1945,22.2,34.5,5.9,5.3,32.9,31.6,12.9
1946,21.1,34.5,6.0,5.5,33.0,30.9,12.3
1947,20.7,35.2,6.2,6.1,33.5,30.6,12.2
1948,20.6,34.8,6.7,6.4,34.6,29.4,11.3
1949,18.5,33.2,6.9,5.6,31.9,27.0,10.5
1950,17.6,32.3,6.8,5.8,31.9,26.2,9.8
1951,16.5,31.9,6.7,5.9,31.6,24.5,9.4
1952,16.1,31.5,7.1,6.1,31.6,23.8,9.5
1953,15.6,31.4,7.1,6.0,32.2,23.6,9.2
1954,14.8,31.2,7.3,6.0,31.8,22.5,8.7
1955,13.7,31.1,7.3,6.2,32.5,22.0,8.4
1956,13.5,30.4,7.9,6.3,32.3,21.0,8.1
1957,12.7,30.4,7.6,6.4,32.1,20.6,8
1958,12.3,29.9,7.8,6.7,31.3,20.3,7.7
1959,11.8,29.5,7.8,6.7,31.1,19.2,7.5
1960,11.5,29.8,8.0,6.9,31.8,18.9,7.3
1961,10.7,29.5,8.1,7.4,31.7,18.3,6.9
1962,10.4,29.0,8.3,7.6,31.4,17.8,6.7
1963,10.2,28.8,8.3,8.1,31.2,17.4,6.5
1964,9.2,28.3,8.2,8.3,31.6,16.9,6.4
1965,9.0,27.8,8.3,8.9,32.0,16.4,6.4
1966,8.7,28.1,8.4,9.6,31.9,15.6,6.1
1967,8.2,27.4,8.4,10.1,32.1,15.0,6.2
1968,7.9,27.3,8.5,11.8,32.4,14.3,5.9
1969,7.5,27.1,8.7,12.5,31.7,13.7,5.7
1970,7.1,26.9,8.6,13.3,32.2,13.1,5.5
1971,6.8,26.4,8.4,14.4,31.7,12.9,5.3
1972,6.6,26.4,8.3,15.2,32.3,12.6,5.2
1973,6.3,25.8,8.4,15.8,32.4,12.0,4.9
1974,6.1,25.8,8.6,16.9,32.1,11.6,4.9
1975,5.9,25.2,8.4,17.8,31.4,10.9,4.7
1976,5.7,25.8,8.6,19.2,31.8,10.8,4.5
1977,5.4,25.2,8.8,20.3,32.5,10.2,4.5
1978,5.5,25.5,8.8,21.7,31.7,10.0,4.5
1979,5.2,25.0,8.8,22.5,31.2,9.6,4.5
